Column1;Column2;Column3;Column4
;https://www.plazavea.com.pe/televisor-led-daewoo-dw-32a214hd-32-hd-smart-tv-100211031/p;;
"Televisor LG UHD 4K ThinQ AI 55"" 55UP7750 (2021)";https://www.plazavea.com.pe/televisor-lg-uhd-4k-thinq-ai-55-55up7750-2021-100147085/p;Modelo;LG
"Televisor 32"" LG 32LM637BPSB Smart HD con Control Magic";https://www.plazavea.com.pe/televisor-32-lg-32lm637bpsb-smart-hd-con-control-magic-100087279/p;Modelo;LG
"Televisor LG Smart TV NanoCell 65"" ThinQ AI 65NANO75 2021";https://www.plazavea.com.pe/televisor-lg-smart-tv-nanocell-65-thinq-ai-65nano75-2021-100159323/p;Modelo;LG
"Televisor Hyundai 32"" HYLED3244NiM Plateado";https://www.plazavea.com.pe/televisor-hyundai-32-hyled3244nim-plateado-100360683/p;Modelo;HYUNDAI
;https://www.plazavea.com.pe/televisor-full-hd-smart-tv-43-borderless-43pfd6825-100077765/p;;
;https://www.plazavea.com.pe/televisor-aoc-led-smart-fhd-43-43s5195-100194843/p;;
"Televisor Crystal UHD 55"" UN55AU8000GXPE";https://www.plazavea.com.pe/televisor-crystal-uhd-55-un55au8000gxpe-100096653/p;Modelo;SAMSUNG
;https://www.plazavea.com.pe/televisor-xiaomi-mi-led-tv-4a-32-smart-hd-android-tv-100155400/p;;
"Televisor Samsung Smart TV 50"" Crystal UHD 4K UN50AU8000GXPE (2021)";https://www.plazavea.com.pe/televisor-samsung-smart-tv-50-crystal-uhd-4k-un50au8000gxpe-2021-100283044/p;Modelo;SAMSUNG
"Televisor Samsung 43"" AU7000 UHD 4K Smart TV 2021 UN43AU7000GXPE";https://www.plazavea.com.pe/televisor-samsung-43-au7000-uhd-4k-smart-tv-2021-un43au7000gxpe/p;Modelo;SAMSUNG
"Televisor LG FHD ThinQ AI 43"" 43LM6370";https://www.plazavea.com.pe/televisor-lg-fhd-thinq-ai-43-43lm6370-100147099/p;Modelo;LG
"Televisor LED 32"" AI ThinQ Smart HD LG 32LM637B";https://www.plazavea.com.pe/televisor-led-32-ai-thinq-smart-hd-lg-32lm637b-100082738/p;Modelo;LG
"Televisor UHD 43"" UN43AU7000GXPE";https://www.plazavea.com.pe/televisor-uhd-43-un43au7000gxpe-100096647/p;Modelo;SAMSUNG
Televisor LED HD 32 Smart TV Hisense 32A4GSV + Rack;https://www.plazavea.com.pe/televisor-led-hd-32-smart-tv-hisense-32a4gsv-rack-100204655/p;;HISENSE
"Televisor JVC LT-32KB218 LED Smart TV 32"" FHD";https://www.plazavea.com.pe/televisor-jvc-lt-32kb218-led-smart-tv-32-fhd-100152441/p;Modelo;JVC
